main_text,comment
I like wheat fields 🌾😋#bassethound #wheat #field #nature #bassethoundsofinstagram,"{""1"": {""comment_id"": ""romeo.the.basset.hound""  ""comment_text"": ""I like wheat fields 🌾😋\n\n#bassethound #wheat #field #nature #bassethoundsofinstagram""}  ""2"": {""comment_id"": ""romeo.the.basset.hound""  ""comment_text"": ""Aí @pru_marcos""}  ""3"": {""comment_id"": ""m4t3us182""  ""comment_text"": ""В траве хорошо срать!""}  ""4"": {""comment_id"": ""lobko_aleksandr""  ""comment_text"": ""Beautiful boy 🥰""}  ""5"": {""comment_id"": ""fred_bassethounddog""  ""comment_text"": ""He really earns his name😄""}  ""6"": {""comment_id"": ""birga_13""  ""comment_text"": ""Looking good Romeo!""}  ""7"": {""comment_id"": ""darwin_thebassethound""  ""comment_text"": ""😍😍😍""}  ""8"": {""comment_id"": ""bassethoundhugo""  ""comment_text"": ""Meraviglioso ❤️💋💋💋💋""}  ""9"": {""comment_id"": ""ida.sonia.shoe""  ""comment_text"": ""😊💕🐶🌾""}  ""10"": {""comment_id"": ""angelica_ord""  ""comment_text"": ""😍❤️""}  ""11"": {""comment_id"": ""donald_basset""  ""comment_text"": ""💗💗💗""}}"
L’attesa “delusa”. #sunset #tramonto #nuvole #clouds #sonnenuntergang #wolken #pordosol #nuvens #puestadesol #nubes #coucherdesoleil #nuages #雲 #日没 #일몰 #구름 #sunsetlovers #trigo #grano #wheat #campagna #countryside #rural #landscape #landschaft #paesaggio #paisaje #sunset_pics #sunsets_oftheworld #sunset_hub @sunset_creative_pictures @ok_sunset @pix_sunset @sunsetmypassion @dove_tramonta_il_sole @tramonti_bestphoto @italia_bestsunset @best_earthpics_ @best_sunsetpics_,"{""1"": {""comment_id"": ""marcofe76""  ""comment_text"": ""L’attesa “delusa”. #sunset #tramonto #nuvole #clouds #sonnenuntergang #wolken #pordosol #nuvens #puestadesol #nubes #coucherdesoleil #nuages #雲 #日没 #일몰 #구름 #sunsetlovers #trigo #grano #wheat #campagna #countryside #rural #landscape #landschaft #paesaggio #paisaje #sunset_pics #sunsets_oftheworld #sunset_hub @sunset_creative_pictures @ok_sunset @pix_sunset @sunsetmypassion @dove_tramonta_il_sole @tramonti_bestphoto @italia_bestsunset @best_earthpics_ @best_sunsetpics_""}  ""2"": {""comment_id"": ""marcofe76""  ""comment_text"": ""È davvero particolare...👏👏👏🔥🔥🔥""}  ""3"": {""comment_id"": ""lago_di_como_official""  ""comment_text"": ""@lago_di_como_official 😍😍😍""}  ""4"": {""comment_id"": ""marcofe76""  ""comment_text"": ""😍😍😍""}  ""5"": {""comment_id"": ""gs3pp3""  ""comment_text"": ""@gs3pp3 🙌🙌""}  ""6"": {""comment_id"": ""marcofe76""  ""comment_text"": ""👏👏👏👏""}  ""7"": {""comment_id"": ""edoardolust""  ""comment_text"": ""@edoardolust 🙏🏻🙏🏻🙏🏻""}  ""8"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Bellissima""}  ""9"": {""comment_id"": ""la_la_zia_zia_curiosa""  ""comment_text"": ""@la_la_zia_zia_curiosa 😍😍 grazieeeee""}  ""10"": {""comment_id"": ""marcofe76""  ""comment_text"": ""👏👏😍""}  ""11"": {""comment_id"": ""giovanni_inghilterra12""  ""comment_text"": ""Grazie mille 🙏🏻""}  ""12"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Non sempre funziona. Ma è bellissimo👏👏""}  ""13"": {""comment_id"": ""hidvegijozsefne79""  ""comment_text"": ""@hidvegijozsefne79 grazie per il tuo commento  apprezzo tanto 🤗🤗""}  ""14"": {""comment_id"": ""marcofe76""  ""comment_text"": ""🔥🔥🔥🔥""}  ""15"": {""comment_id"": ""danikaphoto1594""  ""comment_text"": ""@danikaphoto1594 🙏🏻🙏🏻🙏🏻""}  ""16"": {""comment_id"": ""marcofe76""  ""comment_text"": ""😍😍😍😍👏""}  ""17"": {""comment_id"": ""onekey84""  ""comment_text"": ""@onekey84 grazie mille  carissimo 🙏🏻🙏🏻""}  ""18"": {""comment_id"": ""marcofe76""  ""comment_text"": ""🙌🙌""}  ""19"": {""comment_id"": ""gian.fry7""  ""comment_text"": ""fantastic picture🙌🙌!!""}}"
Did you know....?Follow @fashionartdiy for natural remedies and health tips. 🔔 Turn on post notifications to learn something new every day!🛎..Share with your friend👱👱‍♀️ or tag 😉 Double tap❤️ for more info🗣️ share + Tag your friends😎😎Follow (@fashionartdiy ) For Daily Health Tips💯💯🔔🔔TURN ON POST NOTIFICATIONS🔔🔔#didyouknow #healthyfacts #healthtips #eyehealth #skincare #skinhealth #haircare💯 #wellbeans #naruralremedies 💯💯💯 #naturalmakeup #health #beauty #facepack #healthylifestyle #yoga #instafit #wellness #hairstyle #health #coffee #wheat #detan #tanning #tanremoval #acnetreatment #pigmentation,"{""1"": {""comment_id"": ""fashionartdiy""  ""comment_text"": ""Did you know....?\n\nFollow @fashionartdiy for natural remedies and health tips. 🔔 Turn on post notifications to learn something new every day!🛎\n.\n.\nShare with your friend👱👱‍♀️ or tag 😉 Double tap❤️ for more info🗣️ share + Tag your friends😎😎\n\nFollow (@fashionartdiy ) For Daily Health Tips💯💯\n\n🔔🔔TURN ON POST NOTIFICATIONS🔔🔔\n\n#didyouknow #healthyfacts #healthtips #eyehealth #skincare #skinhealth #haircare💯 #wellbeans #naruralremedies 💯💯💯 #naturalmakeup #health #beauty #facepack #healthylifestyle #yoga #instafit #wellness #hairstyle #health #coffee #wheat #detan #tanning #tanremoval #acnetreatment #pigmentation""}  ""2"": {""comment_id"": ""fashionartdiy""  ""comment_text"": ""Does it really works?????""}  ""3"": {""comment_id"": ""anshnehal""  ""comment_text"": ""Promote it on @womeninspirit""}  ""4"": {""comment_id"": ""fitex_kun39""  ""comment_text"": ""promote it on @womeninspirit""}  ""5"": {""comment_id"": ""fit_andy33""  ""comment_text"": ""promote it on @womeninspirit""}}"
Almost finished “C’mon Boys” 30x30 oil on canvas #rancher #farmer #farmlife #aglife #oilpainting #wip #workinprogress #wheat #art #fineart,"{""1"": {""comment_id"": ""peggyjudyfineart""  ""comment_text"": ""Almost finished “C’mon Boys” 30x30 oil on canvas #rancher #farmer #farmlife #aglife #oilpainting #wip #workinprogress #wheat #art #fineart""}  ""2"": {""comment_id"": ""peggyjudyfineart""  ""comment_text"": ""This series is stunning Peggy!!""}  ""3"": {""comment_id"": ""debbiecarroll""  ""comment_text"": ""@debbiecarroll ❤️""}  ""4"": {""comment_id"": ""peggyjudyfineart""  ""comment_text"": ""You just always swing for the fence. Thanks for sharing😄""}  ""5"": {""comment_id"": ""bill.kinsella.3950""  ""comment_text"": ""@bill.kinsella.3950 ❤️""}  ""6"": {""comment_id"": ""peggyjudyfineart""  ""comment_text"": ""Great!!""}  ""7"": {""comment_id"": ""james_walls_equine_art""  ""comment_text"": ""Awesome. I love it!👏""}  ""8"": {""comment_id"": ""maribethshanahan""  ""comment_text"": ""Beautifully done!""}  ""9"": {""comment_id"": ""artbyshari""  ""comment_text"": ""Wow! 👏👏👏""}  ""10"": {""comment_id"": ""westerngallery""  ""comment_text"": ""Love this! ❤️""}  ""11"": {""comment_id"": ""kat_laughlin_art""  ""comment_text"": ""Love this 🧡""}  ""12"": {""comment_id"": ""wingsofdsire""  ""comment_text"": ""Awesome !""}  ""13"": {""comment_id"": ""vinkerlid""  ""comment_text"": ""Vgggdd""}  ""14"": {""comment_id"": ""sahil.verme""  ""comment_text"": ""That is cool 😎""}  ""15"": {""comment_id"": ""scottpetersen83""  ""comment_text"": ""Really great!! This is incredible!""}  ""16"": {""comment_id"": ""mdhoyt1""  ""comment_text"": ""Love this!!!👏""}  ""17"": {""comment_id"": ""sherrywestonart""  ""comment_text"": ""Love it !""}  ""18"": {""comment_id"": ""s_dickerson""  ""comment_text"": ""I love it!""}  ""19"": {""comment_id"": ""ambergariety""  ""comment_text"": ""Love this!""}}"
⏬ Follow ➡️ @agripedia2021..-------------------------------------------⏬ Join AGRI-PEDIA telegram channel link in 🅱️ℹ️🅾️..-------------------------------------------⏬..FOLLOW @agripedia2021FOLLOW @agripedia2021FOLLOW @agripedia2021..-------------------------------------------⏬ Turn on post notification for updates ✅..--------------------------------------------⏬ Please like follow and Share👍..---------------------------------------------#indianfarming #agri #agriquiz #agronomist #horticos #agricos #agriculture_worldwide #agriculture #pollen #agronomy #cropscience #nutrient #boron #plantbreeding #wheat #horticulturist #crops #wefeedtheworld #biotechnology #icar #iari #generalagriculture #horticulture #plantpathology #kisanmitra #ibpsafo #nabard #agriculturist🚜🌾 #agriculture_expert #environmentalscience,"{""1"": {""comment_id"": ""agripedia2021""  ""comment_text"": ""⏬ Follow ➡️ @agripedia2021\n.\n.\n-------------------------------------------\n⏬ Join AGRI-PEDIA telegram channel link in 🅱️ℹ️🅾️\n.\n.\n-------------------------------------------\n⏬\n.\n.\nFOLLOW @agripedia2021\nFOLLOW @agripedia2021\nFOLLOW @agripedia2021\n.\n.\n-------------------------------------------\n⏬ Turn on post notification for updates ✅\n.\n.\n--------------------------------------------\n⏬ Please like follow and Share👍\n.\n.\n---------------------------------------------\n#indianfarming #agri #agriquiz #agronomist #horticos #agricos #agriculture_worldwide #agriculture #pollen #agronomy #cropscience #nutrient #boron #plantbreeding #wheat #horticulturist #crops #wefeedtheworld #biotechnology #icar #iari #generalagriculture #horticulture #plantpathology #kisanmitra #ibpsafo #nabard #agriculturist🚜🌾 #agriculture_expert #environmentalscience""}  ""2"": {""comment_id"": ""agripedia2021""  ""comment_text"": ""When should apply Boron in Wheat crop . ???????""}  ""3"": {""comment_id"": ""larikshafimuhammad""  ""comment_text"": ""If you want to prevent pollen sterility in wheat than apply boron as a foliar spray when the plant is going through is pre reproductive phase when reproductive development is going on .""}  ""4"": {""comment_id"": ""agripedia2021""  ""comment_text"": ""@agripedia2021 Ok""}}"
“Sapersi distinguere fra la moltitudine”. #papavero #rosso #red #poppy #papoula #amapola #rojo #papaver #redpassion #green #verde #trigo #grano #wheat #grain #vert #coquelicot #rouge #flowers #fioridicampo #flores #blumen #natura #campagna #nature #countryside #rural #rurale #naturaleza #organic @flowers_super_pics @flowers_photogroup @scatto_flowers @orizzontidipianura @focus_flowers_ @people_creative_pictures,"{""1"": {""comment_id"": ""marcofe76""  ""comment_text"": ""“Sapersi distinguere fra la moltitudine”. #papavero #rosso #red #poppy #papoula #amapola #rojo #papaver #redpassion #green #verde #trigo #grano #wheat #grain #vert #coquelicot #rouge #flowers #fioridicampo #flores #blumen #natura #campagna #nature #countryside #rural #rurale #naturaleza #organic @flowers_super_pics @flowers_photogroup @scatto_flowers @orizzontidipianura @focus_flowers_ @people_creative_pictures""}  ""2"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Che bello 😍""}  ""3"": {""comment_id"": ""samuele.zero""  ""comment_text"": ""@samuele.zero 😍grazie""}  ""4"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Bellissima ❤️""}  ""5"": {""comment_id"": ""lago_di_como_official""  ""comment_text"": ""@lago_di_como_official 🌸🌸 grazie  cara 😘""}  ""6"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Bellissima""}  ""7"": {""comment_id"": ""la_la_zia_zia_curiosa""  ""comment_text"": ""@la_la_zia_zia_curiosa molte grazie ☺️ 🙋‍♂️""}  ""8"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Sempre 🙌""}  ""9"": {""comment_id"": ""barbaracar77""  ""comment_text"": ""@barbaracar77 🙏🏻🙏🏻 grazieeeee""}  ""10"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Mi piace tantissimo😍""}  ""11"": {""comment_id"": ""tosi9855""  ""comment_text"": ""@tosi9855 ti ringrazio tanto!!! Da una delle mie passeggiate in campagna 🤗""}  ""12"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Il solitario.😂""}  ""13"": {""comment_id"": ""ranuzzi_lorenzo""  ""comment_text"": ""@ranuzzi_lorenzo ben detto 😄😄""}  ""14"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Bello!!""}  ""15"": {""comment_id"": ""nicolasmeyer_ph""  ""comment_text"": ""@nicolasmeyer_ph grazie mille 🙏🏻""}}"
Anche quando il sole non c’è. #tramonto #sunset #sonnenuntergang #pordosol #puestadesol #coucherdesoleil #sunsetporn #sunsetlovers #sunsetsniper #sunsets_captures #sunsets_oftheworld #sunsetgram #sunsethunter #spiga #grano #wheat #trigo #campagna #countryside #rurallife #ruralphotography #cielo #skyphotography #landscapephotography #tramonti_italiani #all_sunsets #orizzonte #natura #nature #sunset_hub @sunset_creative_pictures @_promote4free_ @ok_sunset @welcometosunsets @sunset_illife @thesunsetsdiary @iconic_sunset_ @dove_tramonta_il_sole @vivoferrara @vivoemiliaromagna @inemiliaromagna @emiliaromagnameteo @igers.emiliaromagna @diariotricolore_emiliaromagna @italia_bestphoto_ @tramonti_bestphoto @best_sunsetpics_ @sunset_greatshots @natgeo_italia @natgeoyourshot @natgeointhefield,"{""1"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Anche quando il sole non c’è. #tramonto #sunset #sonnenuntergang #pordosol #puestadesol #coucherdesoleil #sunsetporn #sunsetlovers #sunsetsniper #sunsets_captures #sunsets_oftheworld #sunsetgram #sunsethunter #spiga #grano #wheat #trigo #campagna #countryside #rurallife #ruralphotography #cielo #skyphotography #landscapephotography #tramonti_italiani #all_sunsets #orizzonte #natura #nature #sunset_hub @sunset_creative_pictures @_promote4free_ @ok_sunset @welcometosunsets @sunset_illife @thesunsetsdiary @iconic_sunset_ @dove_tramonta_il_sole @vivoferrara @vivoemiliaromagna @inemiliaromagna @emiliaromagnameteo @igers.emiliaromagna @diariotricolore_emiliaromagna @italia_bestphoto_ @tramonti_bestphoto @best_sunsetpics_ @sunset_greatshots @natgeo_italia @natgeoyourshot @natgeointhefield""}  ""2"": {""comment_id"": ""marcofe76""  ""comment_text"": ""👏👏👏👏👏""}  ""3"": {""comment_id"": ""margherita_roxi""  ""comment_text"": ""@margherita_roxi 🙏🏻🙏🏻🙏🏻🙏🏻""}  ""4"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Really Amazing pic👏😮😍""}  ""5"": {""comment_id"": ""gildokaldorana""  ""comment_text"": ""@gildokaldorana Thank you very much 🙏🏻🙏🏻""}  ""6"": {""comment_id"": ""marcofe76""  ""comment_text"": ""👏👏😍😍""}  ""7"": {""comment_id"": ""choobisazeh""  ""comment_text"": ""@choobisazeh Thank you 🙏🏻🙏🏻""}  ""8"": {""comment_id"": ""marcofe76""  ""comment_text"": ""😮😮😮""}  ""9"": {""comment_id"": ""gs3pp3""  ""comment_text"": ""@gs3pp3 😍😍 grazieeeee""}  ""10"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Bellissima galleria Marco! Complimenti 👏👏👏""}  ""11"": {""comment_id"": ""pascar.andra""  ""comment_text"": ""@pascar.andra grazie infinite 🙌🙌 molto gentile 🙏🏻🙏🏻""}  ""12"": {""comment_id"": ""marcofe76""  ""comment_text"": ""👏👏👏""}  ""13"": {""comment_id"": ""fiorita100""  ""comment_text"": ""@fiorita100 🤗🤗""}  ""14"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Wow😍""}  ""15"": {""comment_id"": ""sicily_and_dreams""  ""comment_text"": ""@sicily_and_dreams ☺️☺️ grazieeeee""}  ""16"": {""comment_id"": ""marcofe76""  ""comment_text"": ""😍😍""}  ""17"": {""comment_id"": ""1yagmur1000kare""  ""comment_text"": ""@1yagmur1000kare 🙏🏻🙏🏻""}  ""18"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Splendida complimenti 👏🏻""}  ""19"": {""comment_id"": ""parco_acquedotti_roma""  ""comment_text"": ""@parco_acquedotti_roma grazie mille 😍🙋‍♂️""}  ""20"": {""comment_id"": ""marcofe76""  ""comment_text"": ""👏👏👏👌👌👌💯""}  ""21"": {""comment_id"": ""p_jach_photo""  ""comment_text"": ""@p_jach_photo 🙏🏻🙏🏻🙏🏻 Thank you""}  ""22"": {""comment_id"": ""marcofe76""  ""comment_text"": ""👏👏👏👏""}  ""23"": {""comment_id"": ""samuele.zero""  ""comment_text"": ""@samuele.zero 🙌🙌🙌 grazie""}  ""24"": {""comment_id"": ""marcofe76""  ""comment_text"": ""😍😍""}  ""25"": {""comment_id"": ""50etages""  ""comment_text"": ""@50etages grazie mille 🙏🏻""}  ""26"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Molto bella""}  ""27"": {""comment_id"": ""la_la_zia_zia_curiosa""  ""comment_text"": ""@la_la_zia_zia_curiosa 😍😍""}  ""28"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Bellissima""}  ""29"": {""comment_id"": ""danikaphoto1594""  ""comment_text"": ""@danikaphoto1594 ti ringrazio tanto 🙋‍♂️""}  ""30"": {""comment_id"": ""marcofe76""  ""comment_text"": ""😍😍😍❤️❤️❤️""}  ""31"": {""comment_id"": ""erika_magi5""  ""comment_text"": ""@erika_magi5 grazie mille 🙏🏻""}  ""32"": {""comment_id"": ""marcofe76""  ""comment_text"": ""Bellissima con dettaglio in primo piano  complimenti Marco 👏👏 buona serata""}  ""33"": {""comment_id"": ""mokacapelli""  ""comment_text"": ""@mokacapelli grazie infinite!!!!! Buona serata a te 🤗""}  ""34"": {""comment_id"": ""marcofe76""  ""comment_text"": ""O otimismo é o imã da felicidade.""}  ""35"": {""comment_id"": ""stranggerlina""  ""comment_text"": ""@stranggerlina 🙋‍♂️🙋‍♂️""}  ""36"": {""comment_id"": ""marcofe76""  ""comment_text"": ""😂😮🙌follower😂😮refollwer""}  ""37"": {""comment_id"": ""gimbonghwan469""  ""comment_text"": ""Beautiful shot👏👏""}  ""38"": {""comment_id"": ""didis_garden_""  ""comment_text"": ""Che meravigliosa galleria 😍😍😍. Buona giornata Marco""}}"
『松蓋祭り』を開始したばかりですが、本日5/10からは『愛鳥週間』ということで、今週は愛鳥週間前に毎年放鳥が行われる『キジ』の蓋を『特別雉蓋強化週間』として大特集しちゃうぜ！先日出した土山の色蓋を捕捉した時にコチラの色蓋もやっと捕捉できたので紹介。今年も♂キジの『ケ〜ン！ケ〜ン！』というけたたましい啼き聲が聞こえる季節となり、今の時期にはもってこいの蓋だね！旧秦荘町(愛荘町)の蓋です。つがいと思われる♂♀の町の鳥＊キジと町の木＊ウバメガシ、町の花＊ツツジの定番の町のシンボル3點セットと上部には蓋の曲線に合わせて曲がった稻穗と麦も描かれている。背景には町章が大きくカッコよく描かれており、立体感もあって素晴らしいデザインだ。或る施設で展示されていた展示蓋の説明プレートによると、稻穗と麦は豐かな郷土を表現し、背景の大きな町章は町の限りない發展を表現しているそうだ。此の蓋のキジはかなりカラフルな色で描かれているが、左の♀の方は實際にはもっと地味な色をしている。♂に關しても此のカラーリングだと普通のキジというよりはコウライキジっぽい氣もする。近年は移入されたコウライキジとキジの交雜した個体が増えているようなので、此の蓋のキジは其の交雜個体なのかもしれない。さて、愛鳥週間は『バードウイーク』とも呼ばれる『野鳥保護思想普及』の爲の1週間(5/10〜16)だ。當初は『バードデー』として4/10に設定されたようだが、特に野鳥を保護すべきエリアでは雪に閉ざされている所も多い爲、此の時期の『バードウイーク』に變化したらしい。此の時期の直前にキジなどの養殖された鳥の放鳥が行われるが、放鳥される鳥だけの保護を啓蒙しているわけではない。ちなみに放鳥されたキジの生存確率は1割以下らしい。マンホールに描かれるモノは環境保全啓發ネタが多いので、皆さんも此の『愛鳥週間』に野鳥の描かれた蓋を愛でてみてはいかがでしょうか？そんなわけで1枚目が先日支所の入口付近で捕捉した念願の色蓋だ。實は此處には2年前にも來ており、結構探したのだが此の蓋は『神隱し』されたかのように見つけることができなかった。不思議なこともあるものだ。2枚目は『四大聖地』の一つで滋賀県流域下水道のアレの札所である『淡海環境プラザ』の展示室にある展示蓋で、2016年10月にウチの1stインスペクターのアノ漢がマンホールナイトの發表の爲の資料集めという名目で獨自に血行した『取材の旅〜西日本篇〜』で捉えたモノだ。同じ展示蓋は實は別の施設でも展示されており、其れが3枚目だ。コチラは蓋の説明のプレートも付いている。さて此處までの色蓋は知っている人も多いと思うが、4枚目の長島鋳物特製臺座付きの展示蓋を捕捉している人はほぼいないと思う。5枚目の中型の長島臺座付きは秦荘支所内で普通に展示されているので捕捉している人も多いと思う。『小さいのがあるなら大きいのもあるはずだ』と思い調査したところ、やはり大きいのもあったわけだ。そんなわけで、秦荘の展示蓋は少なくとも3枚は製造されたことになる。6枚目は秦荘支所の駐車場にある5枚目と同じサイズの色蓋だ。此のサイズだと上下の蝶番と鍵穴が無いので町章の四方の先端がしっかり見えるようになっていて手裏劍のようでカッコイイ。大型のモノと比べるとキジの羽や稻穗や麦の實の部分が少なくなっている點も違いと云える。7枚目のノンカラーは先日、目賀田城攻略時に捕捉したモノだが、雨が降っていたのと急いでいたのであまり綺麗に仕上げることはできなかった。最後に『キジ』の寫真(8枚目)も載せておくぜ！コチラは去年函館市のP蓋のそばの飼育施設で撮ったモノだ。日本固有種であるキジではなく外來種のコウライキジになる。但しコウライキジはキジが生息しない北海道や対馬には古くから移入されており、対馬市では市の鳥にもなっている。#日本 #japan#滋賀県 #滋賀 #shiga #愛荘町 #愛荘 #秦荘#展示蓋 #雉蓋 #米蓋 #麦蓋 #躑躅系蓋 #木の実蓋 #滋賀蓋#関西の蓋百選#マンホール #manhole#キジ #pheasant#米 #rice #麦 #wheat #azalea#今日の蓋 #愛鳥週間 #birdweek#長島鋳物#獅虎連,"{""1"": {""comment_id"": ""shikoren450""  ""comment_text"": ""『松蓋祭り』を開始したばかりですが、本日5/10からは『愛鳥週間』ということで、今週は愛鳥週間前に毎年放鳥が行われる『キジ』の蓋を『特別雉蓋強化週間』として大特集しちゃうぜ！\n\n先日出した土山の色蓋を捕捉した時にコチラの色蓋もやっと捕捉できたので紹介。\n\n今年も♂キジの『ケ〜ン！ケ〜ン！』というけたたましい啼き聲が聞こえる季節となり、今の時期にはもってこいの蓋だね！\n\n旧秦荘町(愛荘町)の蓋です。\n\nつがいと思われる♂♀の町の鳥＊キジと町の木＊ウバメガシ、町の花＊ツツジの定番の町のシンボル3點セットと上部には蓋の曲線に合わせて曲がった稻穗と麦も描かれている。\n\n背景には町章が大きくカッコよく描かれており、立体感もあって素晴らしいデザインだ。\n\n或る施設で展示されていた展示蓋の説明プレートによると、稻穗と麦は豐かな郷土を表現し、背景の大きな町章は町の限りない發展を表現しているそうだ。\n\n此の蓋のキジはかなりカラフルな色で描かれているが、左の♀の方は實際にはもっと地味な色をしている。\n\n♂に關しても此のカラーリングだと普通のキジというよりはコウライキジっぽい氣もする。\n近年は移入されたコウライキジとキジの交雜した個体が増えているようなので、此の蓋のキジは其の交雜個体なのかもしれない。\n\nさて、愛鳥週間は『バードウイーク』とも呼ばれる『野鳥保護思想普及』の爲の1週間(5/10〜16)だ。\n當初は『バードデー』として4/10に設定されたようだが、特に野鳥を保護すべきエリアでは雪に閉ざされている所も多い爲、此の時期の『バードウイーク』に變化したらしい。\n\n此の時期の直前にキジなどの養殖された鳥の放鳥が行われるが、放鳥される鳥だけの保護を啓蒙しているわけではない。\n\nちなみに放鳥されたキジの生存確率は1割以下らしい。\n\nマンホールに描かれるモノは環境保全啓發ネタが多いので、皆さんも此の『愛鳥週間』に野鳥の描かれた蓋を愛でてみてはいかがでしょうか？\n\nそんなわけで1枚目が先日支所の入口付近で捕捉した念願の色蓋だ。\n\n實は此處には2年前にも來ており、結構探したのだが此の蓋は『神隱し』されたかのように見つけることができなかった。不思議なこともあるものだ。\n\n2枚目は『四大聖地』の一つで滋賀県流域下水道のアレの札所である『淡海環境プラザ』の展示室にある展示蓋で、2016年10月にウチの1stインスペクターのアノ漢がマンホールナイトの發表の爲の資料集めという名目で獨自に血行した『取材の旅〜西日本篇〜』で捉えたモノだ。\n\n同じ展示蓋は實は別の施設でも展示されており、其れが3枚目だ。\nコチラは蓋の説明のプレートも付いている。\n\nさて此處までの色蓋は知っている人も多いと思うが、4枚目の長島鋳物特製臺座付きの展示蓋を捕捉している人はほぼいないと思う。\n\n5枚目の中型の長島臺座付きは秦荘支所内で普通に展示されているので捕捉している人も多いと思う。\n\n『小さいのがあるなら大きいのもあるはずだ』と思い調査したところ、やはり大きいのもあったわけだ。\n\nそんなわけで、秦荘の展示蓋は少なくとも3枚は製造されたことになる。\n\n6枚目は秦荘支所の駐車場にある5枚目と同じサイズの色蓋だ。\n此のサイズだと上下の蝶番と鍵穴が無いので町章の四方の先端がしっかり見えるようになっていて手裏劍のようでカッコイイ。\n\n大型のモノと比べるとキジの羽や稻穗や麦の實の部分が少なくなっている點も違いと云える。\n\n7枚目のノンカラーは先日、目賀田城攻略時に捕捉したモノだが、雨が降っていたのと急いでいたのであまり綺麗に仕上げることはできなかった。\n\n最後に『キジ』の寫真(8枚目)も載せておくぜ！\n\nコチラは去年函館市のP蓋のそばの飼育施設で撮ったモノだ。\n\n日本固有種であるキジではなく外來種のコウライキジになる。\n\n但しコウライキジはキジが生息しない北海道や対馬には古くから移入されており、対馬市では市の鳥にもなっている。\n\n#日本 #japan\n#滋賀県 #滋賀 #shiga #愛荘町 #愛荘 #秦荘\n#展示蓋 #雉蓋 #米蓋 #麦蓋 #躑躅系蓋 #木の実蓋 #滋賀蓋\n#関西の蓋百選\n#マンホール #manhole\n#キジ #pheasant\n#米 #rice #麦 #wheat #azalea\n#今日の蓋 #愛鳥週間 #birdweek\n#長島鋳物\n#獅虎連""}}"
Earth&heartEarth day 🌎Make sure to take care of it 💚🤍,"{""1"": {""comment_id"": ""rosamariaciani_artist_""  ""comment_text"": ""Earth&heart\nEarth day 🌎\nMake sure to take care of it 💚🤍""}  ""2"": {""comment_id"": ""byfinchley""  ""comment_text"": ""😍🔥😍👏""}  ""3"": {""comment_id"": ""rosamariaciani_artist_""  ""comment_text"": ""#earthplanet #earthofficial #earthday #beauty #wheat #demetra #art #artoftheday #arteitaliana #uklandscape #uklandscapes #ukphotographer""}  ""4"": {""comment_id"": ""gagarin7592""  ""comment_text"": ""Love it DM @london._unity 🇬🇧""}  ""5"": {""comment_id"": ""rosamariaciani_artist_""  ""comment_text"": ""Happy Earth day 🌱 🌎""}  ""6"": {""comment_id"": ""11one11_1""  ""comment_text"": ""@pietro_recchia Happy Earth day 🌱🌎💓""}  ""7"": {""comment_id"": ""pietro_recchia""  ""comment_text"": ""Beautiful photographs of you 🔥👏""}  ""8"": {""comment_id"": ""rosamariaciani_artist_""  ""comment_text"": ""@pietro_recchia Thank you very much it was such a wonderful day❤️""}  ""9"": {""comment_id"": ""pietro_recchia""  ""comment_text"": ""Send post on @london._unity 🇬🇧""}}"
Определите успех на своих условиях добейтесь его по своим правилам и постройте жизнь которой вы будете гордиться......#natural_landscape #font #wildlife #wheat #landscape #plant #plantbased #plantlover #plantsmakepeoplehappy #plantbaseddiet #organism #organismo #organisms #organisme #organismos #landscape #landscapephotography #landscapelovers #landscapedesign #landscapepainting #wheat #wheatfree #wheatpaste #wheatbelly #wheatenterrier,"{""1"": {""comment_id"": ""sasha.evt""  ""comment_text"": ""Определите успех на своих условиях  добейтесь его по своим правилам и постройте жизнь  которой вы будете гордиться.\n.\n.\n.\n.\n.\n#natural_landscape #font #wildlife #wheat #landscape #plant #plantbased #plantlover #plantsmakepeoplehappy #plantbaseddiet #organism #organismo #organisms #organisme #organismos #landscape #landscapephotography #landscapelovers #landscapedesign #landscapepainting #wheat #wheatfree #wheatpaste #wheatbelly #wheatenterrier""}}"
